수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-11-21 오후 4:34:21,Microsoft-Windows-Wininit,24,없음,"부팅 앱 롤백 방지: 타이머 시작이 상태:

Win32Error: 0
시작 시간: ‎2025‎-‎11‎-‎19T01:28:04.798047000Z
유예 기간: 51840000000000
기한: ‎2026‎-‎01‎-‎18T01:28:04.798047000Z
"
정보,2025-11-21 오후 4:34:21,Microsoft-Windows-Wininit,19,없음,"가상화 기반 보안 새 타이머 만들기 상태

HRESULT: 작업을 완료했습니다.
새 래치 타이머 필요: false
시스템 업데이트 완료를 기다리는 새 래치 타이머: false
이전 래치 타이머가 있지만 레지스트리에서 사용하지 않도록 설정함: false
정책 파일이 있음: false
"
정보,2025-11-21 오후 4:34:19,Microsoft-Windows-Kernel-General,24,(11),표준 시간대 정보가 새로 고쳐졌습니다. 종료 이유: 0. 현재 표준 시간대 바이어스는 -540입니다.
정보,2025-11-21 오후 4:34:08,Microsoft-Windows-Kernel-Processor-Power,55,(47),"0 그룹의 1 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: ACPI Idle (C) States(1 상태)

성능 상태 유형: None
정격 주파수(MHz): 3200
최대 성능 백분율: 100
최소 성능 백분율: 100
최소 스로틀 백분율: 100"
정보,2025-11-21 오후 4:34:08,Microsoft-Windows-Kernel-Processor-Power,55,(47),"0 그룹의 0 프로세서의 전원 관리 기능 정보:

유휴 상태 유형: ACPI Idle (C) States(1 상태)

성능 상태 유형: None
정격 주파수(MHz): 3200
최대 성능 백분율: 100
최소 성능 백분율: 100
최소 스로틀 백분율: 100"
정보,2025-11-21 오후 4:34:07,Microsoft-Windows-Kernel-Power,172,(203),"대기 모드의 연결 상태: Disconnected, 이유: NIC compliance"
위험,2025-11-21 오후 4:34:07,Microsoft-Windows-Kernel-Power,41,(63),시스템이 비정상적으로 종료된 후 다시 부팅되었습니다. 이 오류는 시스템이 응답을 멈추었거나 손상되었거나 예기치 않게 전원 공급이 중단되면 발생할 수 있습니다.
정보,2025-11-21 오후 4:34:07,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'npsvctrig'(10.0, ‎1978‎-‎05‎-‎14T18:13:30.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:07,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'UCPD'(10.0, ‎1998‎-‎05‎-‎25T23:40:41.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:07,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'FileCrypt'(10.0, ‎2075‎-‎09‎-‎01T07:07:07.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
